CategoryId,Count,ViewCount,Title,averageCount
1,2598,6278487620,Film & Animation,2416661
2,147,5018621,Autos & Vehicles,34140
10,1452,19478635534,Music,13415038
15,103,1228125876,Pets & Animals,11923552
17,660,204346416,Sports,309615
19,3,267409,Travel & Events,89136
20,1959,3041578259,Gaming,1552617
22,3182,2109939978,People & Blogs,663086
23,1348,1104458361,Comedy,819331
24,3482,15688088608,Entertainment,4505482
25,1089,5021747738,News & Politics,4611338
26,246,272686747,Howto & Style,1108482
27,427,2264299567,Education,5302809
28,258,1152454754,Science & Technology,4466878
29,422,304291236,Nonprofits & Activism,721069
