Country,Published At,Title
DZ,2014-10-29T04:07:29.000Z,"Daniel Radcliffe Raps Blackalicious' ""Alphabet Aerobics"""
DZ,2014-12-15T16:49:39.000Z,Steven Spielberg vs Alfred Hitchcock.   Epic Rap Battles of History.
DZ,2012-06-14T07:01:29.000Z,Steve Jobs vs Bill Gates.  Epic Rap Battles of History Season 2.
DZ,2013-02-25T17:02:43.000Z,Gandhi vs Martin Luther King Jr. Epic Rap Battles of History Season 2
DZ,2014-06-16T17:02:33.000Z,Sir Isaac Newton vs Bill Nye. Epic Rap Battles of History Season 3.
DZ,2014-12-01T14:15:00.000Z,Jack the Ripper vs Hannibal Lecter.  Epic Rap Battles of History Season 4.
DZ,2015-07-20T23:42:54.000Z,Shaka Zulu vs Julius Caesar.  Epic Rap Battles of History Season 4.
DZ,2014-07-14T13:00:07.000Z,Artists vs TMNT. Epic Rap Battles of History Season 3 Finale.
DZ,2014-11-10T17:16:39.000Z,Ghostbusters vs Mythbusters.  Epic Rap Battles of History Season 4.
DZ,2015-07-06T22:37:02.000Z,Eastern Philosophers vs Western Philosophers.  Epic Rap Battles of History Season 4.
DZ,2014-05-05T13:00:06.000Z,Rick Grimes vs Walter White.  Epic Rap Battles of History Season 3.
DZ,2016-05-03T03:33:02.000Z,J. R. R. Tolkien vs George R. R. Martin.  Epic Rap Battles of History. Season 5
DZ,2014-11-17T14:00:19.000Z,Romeo and Juliet vs Bonnie and Clyde. Epic Rap Battles of History Season 4
DZ,2013-10-21T13:00:06.000Z,Blackbeard vs Al Capone.  Epic Rap Battles of History Season 3.
DZ,2012-04-02T21:48:54.000Z,Michael Jackson VS Elvis Presley.  Epic Rap Battles of History Season 2.
DZ,2014-06-02T13:00:07.000Z,Stephen King vs Edgar Allan Poe. Epic Rap Battles of History Season 3.
DZ,2012-02-17T00:46:04.000Z,Mario Bros vs Wright Bros.  Epic Rap Battles of History Season 2
DZ,2012-02-01T06:07:26.000Z,Master Chief vs Leonidas. Epic Rap Battles of History Season 2.
DZ,2016-10-14T03:55:39.000Z,Jimmy and Kevin Hart Visit a Haunted House
DZ,2016-08-20T18:16:57.000Z,Ultimate Water Bottle Flip! (Dear Ryan)
DZ,2015-10-31T16:07:49.000Z,The NEW Periodic Table Song (Updated)
DZ,2016-11-21T22:57:54.000Z,Flip Edition | Dude Perfect
DZ,2015-12-16T13:05:31.000Z,Deadpool vs Boba Fett.  Epic Rap Battles of History - Bonus Battle!
DZ,2012-11-13T03:33:37.000Z,Bruce Lee vs Clint Eastwood.  Epic Rap Battles of History Season 2.
DZ,2016-10-17T22:03:39.000Z,Giant Warship Battle | Dude Perfect
DZ,2015-02-02T22:06:02.000Z,Odell Beckham Jr. Edition | Dude Perfect
DZ,2012-10-15T17:01:09.000Z,Barack Obama vs Mitt Romney. Epic Rap Battles Of History Season 2.
DZ,2013-08-19T13:00:46.000Z,Stereotypes: Pickup Basketball
DZ,2016-06-14T08:47:57.000Z,James Bond vs Austin Powers - Epic Rap Battles of History - Season 5
DZ,2014-01-06T23:57:26.000Z,Stereotypes: Gym
DZ,2015-01-19T22:55:01.000Z,Stereotypes: Super Bowl Party
DZ,2013-04-23T03:56:43.000Z,Rasputin vs Stalin.  Epic Rap Battles of History Season 2 finale.
DZ,2015-08-17T21:54:50.000Z,Driving Stereotypes ft. Dale Jr
DZ,2013-04-08T16:00:48.000Z,Mozart vs Skrillex. Epic Rap Battles of History Season 2.
DZ,2014-09-03T04:09:32.000Z,Wheel of Musical Impressions with Adam Levine
DZ,2009-11-02T18:53:51.000Z,Lin-Manuel Miranda Performs at the White House Poetry Jam:  (8 of 8)
DZ,2016-06-17T22:00:01.000Z,The Try Guys Try Not To Die At Sea // Sponsored by The Shallows
DZ,2013-09-02T12:57:30.000Z,Stereotypes: Golf
DZ,2014-05-19T13:00:06.000Z,Goku vs Superman.  Epic Rap Battles of History Season 3.
DZ,2015-11-18T14:00:00.000Z,Never Have I Ever with One Direction
DZ,2014-09-01T21:56:19.000Z,Stereotypes: Restaurant
DZ,2015-05-07T02:28:30.000Z,The Try Guys Try Pregnancy Bellies • Motherhood: Part 1
DZ,2016-10-31T20:35:36.000Z,DPHQ2 Tour | Dude Perfect
DZ,2014-06-05T18:00:13.000Z,Dear Kitten
DZ,2014-12-22T23:01:23.000Z,Pool Trick Shots | Dude Perfect
DZ,2015-01-26T22:55:50.000Z,Bubble Wrap Battle | Dude Perfect
DZ,2012-12-10T20:25:17.000Z,Moses vs Santa Claus.  Epic Rap Battles of History Season 2
DZ,2015-12-04T07:00:30.000Z,Alan Walker - Faded
DZ,2014-06-30T13:00:07.000Z,George Washington vs William Wallace.  Epic Rap Battles of History Season 3.
DZ,2016-11-04T04:10:56.000Z,Mad Lib Theater with Benedict Cumberbatch
AR,2016-08-01T21:56:00.000Z,DP vs NFL Battle | Dude Perfect
AR,2015-07-08T21:54:19.000Z,Dizzy Sports Battle 2 ft. Paul Rudd | Dude Perfect
AR,2015-06-08T21:55:03.000Z,All Sports Golf Battle | Dude Perfect
AR,2016-07-18T21:56:02.000Z,Water Bottle Flip Edition | Dude Perfect
AR,2014-06-30T22:09:28.000Z,World Cup Edition | Dude Perfect
AR,2015-02-24T05:09:08.000Z,Wheel of Musical Impressions with Christina Aguilera
AR,2015-06-22T14:15:21.000Z,Terminator vs Robocop.  Epic Rap Battles of History Season 4.
AR,2016-03-21T22:26:41.000Z,Stereotypes: Softball
AR,2016-02-20T05:20:09.000Z,Wheel of Musical Impressions with Demi Lovato
AR,2015-09-16T04:17:29.000Z,Wheel of Musical Impressions with Ariana Grande
AR,2016-07-12T09:48:53.000Z,Alexander the Great vs Ivan the Terrible - Epic Rap Battles of History Season 5
AR,2016-10-27T09:00:02.000Z,Best Friends Challenge with Justin Timberlake
AR,2016-11-30T01:20:58.000Z,"Three Girls, One Elevator (ft. Zendaya & Winnie Harlow)"
AR,2016-09-09T07:00:00.000Z,James Arthur - Say You Won't Let Go
AR,2016-08-29T21:56:00.000Z,Shotgun Trick Shots | Dude Perfect
AR,2014-04-29T04:11:56.000Z,Lip Sync Battle with Emma Stone
AR,2016-10-10T22:22:49.000Z,Metal Detector Battle | Dude Perfect
AR,2016-05-18T08:12:09.000Z,Gordon Ramsay vs Julia Child.  Epic Rap Battles of History - Season 5
AR,2016-11-17T04:50:55.000Z,"Jimmy Fallon, Metallica & The Roots Sing ""Enter Sandman"" (Classroom Instruments)"
AR,2016-10-31T22:00:02.000Z,Andy and Ariana Grande's Haunted House Adventure
AR,2015-08-31T19:01:23.000Z,If My Phone Were a Person (ft. Connor Franta)
AR,2016-11-07T22:55:56.000Z,Drone Hunting Battle | Dude Perfect
AR,2016-02-01T23:00:57.000Z,Mountain Top Snow Battle | Dude Perfect
AR,2016-12-05T23:01:24.000Z,Extreme Weather Golf Battle | Dude Perfect
AR,2011-12-08T20:26:13.000Z,Hitler vs Vader 2.  Epic Rap Battles of History Season 2.
AR,2014-04-28T23:32:55.000Z,How To Stop Parents from Comparing Kids (ft. Miranda Sings)
AR,2015-02-16T23:00:56.000Z,Ping Pong Trick Shots 2 | Dude Perfect
AR,2015-11-24T06:23:16.000Z,"Main Rahoon Ya Na Rahoon Full Video | Emraan Hashmi, Esha Gupta | Amaal Mallik, Armaan Malik"
AR,2016-11-16T20:24:52.000Z,CONSPIRACY THEORIES & NEW MANDELA EFFECTS
AR,2016-08-02T20:00:26.000Z,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
AR,2015-09-28T21:55:12.000Z,Slip 'N Slide Football Battle | Dude Perfect
AR,2016-11-04T16:00:30.000Z,The Try Guys Try Distracted Driving // Presented By Kia Forte
AR,2016-02-08T23:00:05.000Z,Giant Basketball Arcade Battle | Dude Perfect
AR,2016-09-29T16:35:00.000Z,The Chainsmokers - All We Know (Audio) ft. Phoebe Ryan
AR,2014-11-24T14:00:04.000Z,Zeus vs Thor.  Epic Rap Battles of History Season 4.
AR,2015-12-14T22:55:29.000Z,Archery Kart Team Battle ft. Luke Bryan | Dude Perfect
AR,2016-09-03T20:30:00.000Z,Animate My Life | Guava Juice
AR,2015-12-08T15:32:12.000Z,Quantum Computers Explained – Limits of Human Technology
AR,2015-03-02T22:55:34.000Z,Long Drive Trick Shots | Dude Perfect
AR,2014-06-02T21:58:18.000Z,Bowling Trick Shots | Dude Perfect
AR,2014-02-17T23:00:44.000Z,Ping Pong Trick Shots | Dude Perfect
AR,2015-04-06T22:00:27.000Z,XPOGO Edition | Dude Perfect
AR,2016-11-12T05:32:47.000Z,David Blaine Shocks Jimmy and The Roots with Magic Tricks
AR,2016-10-12T04:10:58.000Z,Would You Rather with Kevin Hart
AR,2015-06-04T23:31:13.000Z,iPhone Game Battle | Dude Perfect 2
AR,2016-10-08T03:51:35.000Z,Donald Trump Calls Madea
AR,2016-05-01T14:00:01.000Z,Notice Anything Different About Me? • Ship It
AR,2015-05-10T03:02:54.000Z,The Try Guys Try Labor Pain Simulation • Motherhood: Part 4
AR,2016-11-29T20:48:52.000Z,Reacting To The Funniest Texts!
AR,2015-01-15T16:32:32.000Z,How to sound smart in your TEDx Talk | Will Stephen | TEDxNewYork
AU,2014-11-10T22:55:19.000Z,Archery Trick Shots | Dude Perfect
AU,2016-11-04T16:00:30.000Z,The Try Guys Try Distracted Driving // Presented By Kia Forte
AU,2016-02-08T23:00:05.000Z,Giant Basketball Arcade Battle | Dude Perfect
AU,2016-09-29T16:35:00.000Z,The Chainsmokers - All We Know (Audio) ft. Phoebe Ryan
AU,2016-10-15T11:00:01.000Z,Colleen Ballinger Transforms into Miranda Sings to Interview Jimmy
AU,2016-04-19T23:10:37.000Z,The Try Guys Get Style Makeovers
AU,2014-11-24T22:54:52.000Z,Seattle Seahawks Edition ft. Russell Wilson | Dude Perfect
AU,2014-11-24T14:00:04.000Z,Zeus vs Thor.  Epic Rap Battles of History Season 4.
AU,2015-12-14T22:55:29.000Z,Archery Kart Team Battle ft. Luke Bryan | Dude Perfect
AU,2016-09-03T20:30:00.000Z,Animate My Life | Guava Juice
AU,2015-12-08T15:32:12.000Z,Quantum Computers Explained – Limits of Human Technology
AU,2014-09-05T22:40:30.000Z,If College Freshmen Were Honest On Move-In Day
AU,2013-03-19T03:37:11.000Z,Types of Teachers at School
AU,2014-02-22T04:47:06.000Z,Honest University Commercial
AU,2015-03-02T22:55:34.000Z,Long Drive Trick Shots | Dude Perfect
AU,2014-06-02T21:58:18.000Z,Bowling Trick Shots | Dude Perfect
AU,2014-02-17T23:00:44.000Z,Ping Pong Trick Shots | Dude Perfect
