CategoryId,Country,CountryCode,Title,VideoID,ViewCount
22,Algeria,DZ,ستبكى عندما تعرف لماذا الرسول لم يأذن ولا مره فى حياته ! سبحان الله,sbCTyRCoNgE,605821
10,Algeria,DZ,Clip Cheb Reda - Koulchi m3ak Smat (AVM EDITION),saV2iqjBl08,1134474
22,Algeria,DZ,مذيعة قناةNRT عربية تقدم استقالتها على الهواء مباشرة,5QApZDfaScI,431776
24,Algeria,DZ,8 أعضاء في جسمك تفضح اسرارك امام الناس !!,OtQjLchefOw,929669
22,Algeria,DZ,nekkaz,ZbWE8IDdQBk,41963
20,Argentina,AR,Mi pasado HACKER en los videojuegos (no me juzguéis mucho :v),UpWCmWdS-es,606325
23,Argentina,AR,EL TATUAJE RIDÍCULO | #SiTeRíesPierdes,UxKL8l2xfGk,3141162
24,Argentina,AR,Madonna Carpool Karaoke,Sx2PfL2ekTY,3072696
20,Argentina,AR,MOE ES LA MUERTE | Homero Saw Game,gYdxiTNloCE,1393029
23,Argentina,AR,LA VIDA EN CANCIONES 3 | Hecatombe!,grKWZY9CmUQ,917919
28,Australia,AU,Introducing Amazon Go and the world’s most advanced shopping technology,NrmMk1Myrxc,6263769
1,Australia,AU,Everything Wrong With Finding Dory In 16 Minutes Or Less,LclPKwhfSIA,2380701
22,Australia,AU,$8 Salmon Vs. $56 Salmon,V9eeg8d9XEg,5567211
22,Australia,AU,t,RzlG2r-S4Fk,390420
20,Australia,AU,DELETING MY CHANNEL AT 50 MILLION.,6-_4Uoo_7Y4,15073245
17,Austria,AT,FC Barcelona - Borussia Mönchengladbach | Highlights Champions League 6. Spieltag,nCG7J9ACaVo,434254
1,Austria,AT,Honest Trailers - Suicide Squad,cdiFhv3gsyo,4075001
1,Austria,AT,İçerde 12. Bölüm,r3IPxzeLViE,3346818
1,Austria,AT,Маша и Медведь - На кухне с Машей! Сборник мультфильмов про еду 2016!,S1EsVUZh4NM,7400228
24,Austria,AT,Zvezde Granda - Cela emisija 11 - ZG 2016/17 - 03.12.2016.,f-Q_bMe_-rI,1021564
1,Azerbaijan,AZ,Muhteşem Yüzyıl: Kösem | Yeni Sezon - 3.Bölüm (33.Bölüm),-ML30D1jmKA,424977
22,Azerbaijan,AZ,JÜRİ ONUN İÇİN BİRBİRİNE GİRDİ! SEDA TAŞ 'ARNAVUT KALDIRIMI' 3 ARALIK 2016 |O SES TÜRKİYE,cmYT5EKIQS8,427450
22,Azerbaijan,AZ,Anne 7. Bölüm,dqPxH4GTT_M,251317
1,Azerbaijan,AZ,Cesur Yürek 9.Bölüm 1.Fragman,RLAOkjxEqoc,331274
22,Azerbaijan,AZ,No: 309 25. Bölüm,0HE-I_Yz418,278197
25,Bahrain,BH,"দেখুন সৌদিতে এক  বাংলাদেশিকে উপহাস, পরে পেলেন উপহার [Must Watch]",RRdmHgneeLI,109343
26,Bahrain,BH,اصيب بسرطان العين ... والسبب شيء نقوم به قبل النوم,Smal3FhVQaY,647349
24,Bahrain,BH,Giant Dubble Bubble Gumball Machine - Bubble Gum Challenge - SUPER GROSS! - MaddaKenz Extended Cut,drs3KbgSl_0,18780552
25,Bahrain,BH,jayalalitha pushed away from mgr funeral car 1987,D2aEo3EFy5I,1586567
22,Bahrain,BH,فلم العاق,DfgawgZph74,1620
1,Belarus,BY,БЕН И ХОЛЛИ ЖЕЛУДЕВЫЙ ДЕНЬ НА РУССКОМ 2016,9XbNfwyTVsA,1313676
23,Belarus,BY,[BadComedian] - Страна Чудес (Новогодний Квартет И),_WJ79rKo44U,1038660
23,Belarus,BY,НТВ шутит о встрече Лукашенко с Сигалом,tuBOWFnVp6M,73958
1,Belarus,BY,Человек-Паук: возвращение домой,l1llfgbMFRM,124059
1,Belarus,BY,2+1 — Русский трейлер (2017),-zrO28TkhPY,1689098
24,Belgium,BE,Bad Kids Driving Parents Car - Scary Killer Clown Attacks Kids ( PART 3 SKIT  ),ZXAPW4A6DvU,15478372
1,Belgium,BE,Czego szukasz w Święta? | English for beginners,tU5Rnd-HM6A,8236271
10,Belgium,BE,Lady Gaga - Million Reasons (Live From The Victoria's Secret Fashion Show 2016 In Paris),eeafBPG6naM,3088208
10,Belgium,BE,The Rolling Stones - Ride 'Em On Down,qEuV82GqQnE,5862412
10,Belgium,BE,Van Echelpoel - Ziet Em Duun (Officiële Videoclip),jo-aHfmeOVY,72530
25,Bosnia and Herzegovina,BA,TV presenter left exposed by on air wardrobe malfunction   but doesnt even notice,ZKdk-vGqBD4,306918
20,Bosnia and Herzegovina,BA,NIKO SE NIJE NADAO DA CU PROCI ! Grand Theft Auto V - Deathrun w/Cale,EdLhBbpULHM,264250
10,Bosnia and Herzegovina,BA,"Dheere Dheere Se Meri Zindagi Video Song (OFFICIAL) Hrithik Roshan, Sonam Kapoor | Yo Yo Honey Singh",nCD2hj6zJEc,173032636
20,Bosnia and Herzegovina,BA,MINECRAFT: NAJBOLJE TIMSKE TAKTIKE | Mini Walls Hypixel,odRnvJ6d0nU,116815
24,Bosnia and Herzegovina,BA,Bad Santa Attacks Freak Family Annabelle Victoria Daddy Toy Freaks Hidden Egg,U2P3Gbk8HRM,21090193
23,Brazil,BR,MEU AMIGO NUNCA TEVE FESTA DE ANIVERSÁRIO,Tq_KNeHpiQI,176495
20,Brazil,BR,Minecraft : LUCKY PIXELMON - PAGANDO DESAFIO DE MENINA DE BIKINI ! SUICUNE SHINY !,mEsKfYuowX0,85103
28,Brazil,BR,Hackers de verdade | Nerdologia 193,xEZYlCKEfFk,127501
26,Brazil,BR,Porque o mar é salgado? Dúvida cruel #11,KjhDQgkg3Yk,137375
22,Brazil,BR,TABULEIRO OUIJA?  PROVANDO QUE É TUDO MENTIRA,aD-6fIhEntE,540911
1,Bulgaria,BG,Легенда за първия кукер,VgZya3xe2zk,77908
